parameter,category,baseline,lower_bound,upper_bound,units,sampling_type,reason_for_range,source,paper_value_known,affects_nextnano_solve,requested_range,final_adopted_range,reason_for_change,notes
r_e_hh_nm,UNCERTAIN,0.751,0.65,1.00,nm,continuous_latin_hypercube,"The 2026 paper states HSE06/VASP but omits the numerical matrix element; 0.751 nm is the 2023 repository value.","Ramesh 2026 Methods 5.1; Ramesh 2023 repository reproduction",false,false,0.65-1.00 nm,0.65-1.00 nm,unchanged,"Post-processing only; chi2 scales as r_e_hh squared."
electrostatic_field_kV_per_cm,DIAGNOSTIC PROXY,0.0,-20.0,20.0,kV/cm,continuous_latin_hypercube,"Represents unknown electrostatic band bending without inventing doping or charge inputs.","Ramesh 2026 Methods 5.1; repository Demo 05 field validation",false,true,-20 to +20 kV/cm,-20 to +20 kV/cm,unchanged,"Imposed poisson electric_field tilt; run remains quantum-only and no_density=yes. Not a claimed paper input."
hh_relative_weight,DIAGNOSTIC PROXY,1.0,0.55,1.45,dimensionless,continuous_latin_hypercube,"Demo 18B found strong electron/HH cancellation; modest relative changes can strongly alter the residual.","Demo 18B independent Eq. 2 branch audit",false,false,0.55-1.45,0.55-1.45,unchanged,"Applied only after saving the raw HH branch. Not equated with degeneracy."
wells_per_period_for_Nz,CONVENTION,2,1,2,wells_per_30_nm,categorical_80_percent_baseline,"The paper defines Nz as wells per unit length while one period contains two coupled wells.","Ramesh 2026 Fig. 1 and Methods 5.1; Demo 18B convention audit",false,false,"1 or 2","1 or 2; value 2 in 16 of 20 cases",unchanged,"No extra unexplained factor of two is allowed."
spin_degeneracy,CONVENTION,2,1,2,dimensionless,categorical_80_percent_baseline,"Explicit bookkeeping cross-check; baseline uses spin two.","Demo 18B degeneracy ledger",false,false,"1 or 2","1 or 2; value 2 in 16 of 20 cases",unchanged,"Post-processing only."
kmax_fraction_2pi_over_a,CONVENTION,0.10,0.10,0.20,2pi_over_a,stratified_discrete,"The paper says one tenth of the Brillouin zone but does not define the edge convention.","Ramesh 2026 Methods 5.1; Demo 18B k-saturation audit",false,false,0.10-0.20,"0.10; 0.125; 0.15; 0.175; 0.20",unchanged,"Uses 768 radial k points for every cutoff."
well1_nm,UNCERTAIN,7.1,7.0,7.2,nm,continuous_latin_hypercube,"Tests narrow printed-dimension rounding without optimizing the structure.","Ramesh 2026 Fig. 1 and requested sensitivity envelope",true,true,7.0-7.2 nm,7.0-7.2 nm,unchanged,"Outer period barrier is derived so the period remains exactly 30 nm."
well2_nm,UNCERTAIN,2.9,2.8,3.0,nm,continuous_latin_hypercube,"Tests narrow printed-dimension rounding without optimizing the structure.","Ramesh 2026 Fig. 1 and requested sensitivity envelope",true,true,2.8-3.0 nm,2.8-3.0 nm,unchanged,"Outer period barrier is derived so the period remains exactly 30 nm."
tunneling_barrier_nm,UNCERTAIN,1.8,1.7,1.9,nm,continuous_latin_hypercube,"Coupling is barrier-sensitive; the narrow interval tests printed-dimension rounding only.","Ramesh 2026 Fig. 1 and requested sensitivity envelope",true,true,1.7-1.9 nm,1.7-1.9 nm,unchanged,"No broader structure-optimization sweep."
electron_mass_scale,UNCERTAIN,1.0,1.0,1.0,database_relative,fixed_not_implemented,"The requested model uncertainty cannot be varied through the validated renderer transparently.","Current Nextnano database and Demo 18B renderer audit",false,true,0.95-1.05,1.0,"No clean material override exists in the validated renderer.","Would require a new solve if a validated override is added; never patched after solving."
hh_mass_scale,UNCERTAIN,1.0,1.0,1.0,database_relative,fixed_not_implemented,"The requested model uncertainty cannot be varied through the validated renderer transparently.","Current Nextnano database and Demo 18B renderer audit",false,true,0.90-1.10,1.0,"No clean material override exists in the validated renderer.","Would require a new solve if a validated override is added; never patched after solving."
cb_offset_scale,UNCERTAIN,1.0,1.0,1.0,database_relative,fixed_not_implemented,"The requested model uncertainty cannot be varied through the validated renderer transparently.","Current Nextnano database and Demo 18B renderer audit",false,true,0.95-1.05,1.0,"No clean band-offset override exists in the validated renderer.","Would require a new solve if a validated override is added; never patched after solving."
hh_offset_scale,UNCERTAIN,1.0,1.0,1.0,database_relative,fixed_not_implemented,"The requested model uncertainty cannot be varied through the validated renderer transparently.","Current Nextnano database and Demo 18B renderer audit",false,true,0.95-1.05,1.0,"No clean band-offset override exists in the validated renderer.","Would require a new solve if a validated override is added; never patched after solving."
broadening_meV,PUBLISHED,5.0,5.0,5.0,meV,fixed,"Explicitly stated in Eq. 2 methods.","Ramesh 2026 Methods 5.1",true,false,5 meV,5 meV,unchanged,"Never varied."
states_per_band,PUBLISHED,2,2,2,states,fixed,"The paper considers the first two bound conduction and HH states.","Ramesh 2026 Methods 5.1",true,false,2+2,2+2,unchanged,"Six states are requested from the solver so strict bound-state selection can certify the first two used."
interface_profile,PUBLISHED,abrupt,abrupt,abrupt,text,fixed,"The 2340 pm/V target is the ideal abrupt-interface calculation.","Ramesh 2026 Discussion 3.1",true,true,abrupt,abrupt,unchanged,"No grading is introduced."
target_wavelength_nm,PUBLISHED,1550,1550,1550,nm,fixed,"Primary comparison wavelength.","Ramesh 2026 measurement and simulation discussion",true,false,1550 nm,1550 nm,unchanged,"Spectrum spans 1400-1800 nm."
