family,element,existing_real,raw_branch_A_real,raw_branch_B_real,branch_mean_real,relative_difference_mean_vs_existing,units,interpretation,could_alter_cancellation
O,11,0.9822755287674644,0.9893500543605964,0.9893500543606075,0.989350054360602,0.007202180433034442,dimensionless,METHOD LIMITED: projected 8-band component is not scalar Demo19 envelope,unlikely
O,12,0.01540332812208936,0.9989488931147678,0.9989488931147651,0.9989488931147664,63.85279578523097,dimensionless,METHOD LIMITED: projected 8-band component is not scalar Demo19 envelope,YES
O,21,-0.08353004083929513,-0.08583792806417463,-0.08583792806401819,-0.0858379280640964,0.027629427707828527,dimensionless,METHOD LIMITED: projected 8-band component is not scalar Demo19 envelope,unlikely
O,22,0.3831404861807044,0.04210259413589981,0.04210259413591627,0.04210259413590804,0.8901118632603844,dimensionless,METHOD LIMITED: projected 8-band component is not scalar Demo19 envelope,YES
z_e_nm,11,12.72452731946466,12.825102287002633,12.825102287002522,12.825102287002577,0.007904023859815134,nm,METHOD LIMITED: projected 8-band component is not scalar Demo19 envelope,unlikely
z_e_nm,12,1.0251735847808658,1.5130367239648306,1.5130367239639362,1.5130367239643834,0.4758834468874848,nm,METHOD LIMITED: projected 8-band component is not scalar Demo19 envelope,YES
z_e_nm,21,1.0251735847808656,1.5130367239648308,1.5130367239639362,1.5130367239643836,0.4758834468874853,nm,METHOD LIMITED: projected 8-band component is not scalar Demo19 envelope,YES
z_e_nm,22,18.661190322705767,17.670450306262918,17.670450306262794,17.670450306262858,0.05309093360660062,nm,METHOD LIMITED: projected 8-band component is not scalar Demo19 envelope,unlikely
z_hh_nm,11,12.65139233424412,12.65391553663491,12.653915536635537,12.653915536635225,0.00019944068798460597,nm,METHOD LIMITED: projected 8-band component is not scalar Demo19 envelope,unlikely
z_hh_nm,12,1.4323684065114455,12.511438977913626,12.511438977914025,12.511438977913826,7.734791217844313,nm,METHOD LIMITED: projected 8-band component is not scalar Demo19 envelope,YES
z_hh_nm,21,1.4323684065114457,12.511438977913626,12.511438977914025,12.511438977913826,7.734791217844312,nm,METHOD LIMITED: projected 8-band component is not scalar Demo19 envelope,YES
z_hh_nm,22,12.73014553601777,12.869966275260028,12.869966275260026,12.869966275260026,0.01098343603744799,nm,METHOD LIMITED: projected 8-band component is not scalar Demo19 envelope,unlikely
